date,horario,nick,classe,item,monster,mapa
2026-08-21,21/08 ás 05:58,SafaBosS,Cavaleiro,HP Gem (Lv.2),Sentinel,Secret Laboratory 2F
2026-08-21,21/08 ás 05:53,Psych0,Atalanta,Inferna,Elite Soldier,Secret Laboratory 2F
2026-08-21,21/08 ás 06:26,PaoNaSchapa,Shaman,Inferna,Elite Soldier,Secret Laboratory 2F
2026-08-21,21/08 ás 06:07,PaoNaSchapa,Shaman,Weapon Fragment (B),Undead Engineer,Secret Laboratory 2F
2026-08-21,21/08 ás 06:02,Stelar,Arqueira,Weapon Fragment (A),Deranged Technician,Secret Laboratory 2F
2026-08-21,21/08 ás 06:48,LiMaO,Pikeman,Defense Fragment (C),Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 06:46,Psych0,Atalanta,Weapon Fragment (B),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 06:42,Stelar,Arqueira,Mirage,Undead Engineer,Secret Laboratory 2F
2026-08-21,21/08 ás 07:13,LiMaO,Pikeman,Frenzy Armor,Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 07:00,LiMaO,Pikeman,Immortal Bow,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 07:45,LiMaO,Pikeman,Phoenix Boots,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 07:33,Hewitt,Cavaleiro,Mirage,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:01,Hewitt,Cavaleiro,Defense Fragment (C),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:29,LiMaO,Pikeman,Frenzy Armor,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:15,Stelar,Arqueira,Defense Fragment (A),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:57,Stelar,Arqueira,Celestial Staff,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 09:24,Hewitt,Cavaleiro,Dreadnaught Shield,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 09:57,Stelar,Arqueira,Phoenix Bracelets,Sentinel,Secret Laboratory 2F
2026-08-21,21/08 ás 10:29,Hewitt,Cavaleiro,Dragon Scythe,Stinger Hound,Valley of Tranquility
2026-08-21,21/08 ás 10:26,Hewitt,Cavaleiro,Dreadnaught Shield,Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 10:20,Hewitt,Cavaleiro,Weapon Fragment (A),Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 10:16,Hewitt,Cavaleiro,Mirage Sword,Elder Figon,Valley of Tranquility
2026-08-21,21/08 ás 10:12,Psych0,Atalanta,Weapon Fragment (A),Stinger Hound,Valley of Tranquility
2026-08-21,21/08 ás 10:05,Stelar,Arqueira,Gold Gem (Lv.2),Deranged Technician,Secret Laboratory 2F
2026-08-21,21/08 ás 10:52,LiMaO,Pikeman,Heretic Javelin,Elder Figon,Valley of Tranquility
2026-08-21,21/08 ás 10:51,Psych0,Atalanta,Devilian Dagger,Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 10:48,Hewitt,Cavaleiro,Weapon Fragment (A),Stinger Hound,Valley of Tranquility
2026-08-21,21/08 ás 11:28,LiMaO,Pikeman,Phoenix Boots,Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 11:23,SafaBosS,Cavaleiro,Gold Gem (Lv.2),Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 11:10,Psych0,Atalanta,Dreadnaught Shield,Elder Figon,Valley of Tranquility
2026-08-21,21/08 ás 11:37,SafaBosS,Cavaleiro,Acala Phantom,Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 11:30,LiMaO,Pikeman,Weapon Fragment (C),Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 12:18,LiMaO,Pikeman,Mirage,Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 12:11,SafaBosS,Cavaleiro,Extreme Sword,Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 12:49,SafaBosS,Cavaleiro,Phoenix Gauntlets,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:29,Psych0,Atalanta,Weapon Fragment (A),Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 13:28,Psych0,Atalanta,Dragon Axe,Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 13:14,Psych0,Atalanta,Mirage,Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 13:10,Psych0,Atalanta,Weapon Fragment (A),Stinger Hound,Valley of Tranquility
2026-08-21,21/08 ás 13:57,Psych0,Atalanta,Mirage,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:57,Stelar,Arqueira,Weapon Fragment (C),Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:56,Psych0,Atalanta,Zecram Axe,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:50,Hewitt,Cavaleiro,Frenzy Boots,Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 13:45,Stelar,Arqueira,Inferna,Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:42,SafaBosS,Cavaleiro,Defense Gem (Lv.2),Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 13:42,SafaBosS,Cavaleiro,Weapon Fragment (A),Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 14:12,Stelar,Arqueira,Dreadnaught Shield,Deranged Technician,Secret Laboratory
2026-08-21,21/08 ás 14:25,Stelar,Arqueira,Mirage,Armed Invader,Secret Laboratory
2026-08-21,21/08 ás 14:22,LiMaO,Pikeman,Acala Phantom,Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 14:57,SafaBosS,Cavaleiro,Block Gem (Lv.2),Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 14:40,Hewitt,Cavaleiro,Dreadnaught Shield,Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 14:40,Hewitt,Cavaleiro,Damage Gem (Lv.2),Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 14:40,SafaBosS,Cavaleiro,Weapon Fragment (B),Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 15:20,PaoNaSchapa,Shaman,Mirage,Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 15:14,Stelar,Arqueira,Block Gem (Lv.2),Elite Soldier,Secret Laboratory
2026-08-21,21/08 ás 15:40,Stelar,Arqueira,Defense Fragment (A),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 16:13,Stelar,Arqueira,Defense Fragment (B),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 16:04,Hewitt,Cavaleiro,Defense Fragment (C),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 16:26,Stelar,Arqueira,Defense Fragment (C),Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 16:19,LiMaO,Pikeman,Weapon Fragment (C),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 16:37,LiMaO,Pikeman,Acala Phantom,Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 17:55,SafaBosS,Cavaleiro,Weapon Fragment (A),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 17:49,LiMaO,Pikeman,Celestial Staff,Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 17:35,Hewitt,Cavaleiro,Weapon Fragment (B),Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 17:35,Psych0,Atalanta,Mirage,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 18:09,Hewitt,Cavaleiro,Inferna,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 18:37,Hewitt,Cavaleiro,Heretic Javelin,Undead Engineer,Secret Laboratory
2026-08-21,21/08 ás 19:26,Stelar,Arqueira,Inferna,Sentinel,Secret Laboratory
2026-08-21,21/08 ás 19:24,Psych0,Atalanta,Inferna,Armed Invader,Secret Laboratory
2026-08-21,21/08 ás 19:18,Hewitt,Cavaleiro,Defense Fragment (B),Elite Soldier,Secret Laboratory
2026-08-21,21/08 ás 19:12,Stelar,Arqueira,Defense Fragment (A),Undead Engineer,Secret Laboratory
2026-08-21,21/08 ás 19:39,Stelar,Arqueira,Immortal Bow,Psycho Slayer,Secret Laboratory
2026-08-21,21/08 ás 20:16,SafaBosS,Cavaleiro,Defense Fragment (C),Armed Invader,Secret Laboratory
2026-08-21,21/08 ás 20:01,Psych0,Atalanta,Weapon Fragment (C),Deranged Technician,Secret Laboratory
2026-08-21,21/08 ás 20:49,Hewitt,Cavaleiro,Inferna,Elite Soldier,Secret Laboratory
2026-08-21,21/08 ás 20:38,SafaBosS,Cavaleiro,Extreme Sword,Elite Soldier,Secret Laboratory
2026-08-21,21/08 ás 20:37,Hewitt,Cavaleiro,Weapon Fragment (C),Elite Soldier,Secret Laboratory
2026-08-21,21/08 ás 20:33,Hewitt,Cavaleiro,Dreadnaught Shield,Deranged Technician,Secret Laboratory
2026-08-22,22/08 ás 00:05,SafaBosS,Cavaleiro,Damage Gem (Lv.2),Deranged Technician,Secret Laboratory
2026-08-22,22/08 ás 00:57,Hewitt,Cavaleiro,Defense Fragment (B),Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 00:54,SafaBosS,Cavaleiro,Damage Gem (Lv.2),Armed Invader,Secret Laboratory
2026-08-22,22/08 ás 00:40,Hewitt,Cavaleiro,Weapon Fragment (B),Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 01:30,Psych0,Atalanta,Defense Fragment (C),Deranged Technician,Secret Laboratory
2026-08-22,22/08 ás 01:22,LiMaO,Pikeman,Defense Fragment (B),Elite Soldier,Secret Laboratory
2026-08-22,22/08 ás 01:13,Hewitt,Cavaleiro,Weapon Fragment (B),Sentinel,Secret Laboratory
2026-08-22,22/08 ás 01:56,PaoNaSchapa,Shaman,Injustice Talon,Deranged Technician,Secret Laboratory
2026-08-22,22/08 ás 01:40,PaoNaSchapa,Shaman,Mirage,Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 02:57,Hewitt,Cavaleiro,Inferna,Sentinel,Secret Laboratory
2026-08-22,22/08 ás 03:16,Stelar,Arqueira,Defense Fragment (A),Elite Soldier,Secret Laboratory
2026-08-22,22/08 ás 03:12,Psych0,Atalanta,Defense Gem (Lv.2),Sentinel,Secret Laboratory
2026-08-22,22/08 ás 03:09,Psych0,Atalanta,Attack Power Gem (Lv.2),Elite Soldier,Secret Laboratory
2026-08-22,22/08 ás 03:57,Hewitt,Cavaleiro,Weapon Fragment (B),Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 03:49,Hewitt,Cavaleiro,Celestial Staff,Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 03:36,Hewitt,Cavaleiro,Weapon Fragment (B),Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 04:29,Psych0,Atalanta,EXP Gem (Lv.3),Deranged Technician,Secret Laboratory
2026-08-22,22/08 ás 04:25,LiMaO,Pikeman,Defense Fragment (A),Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 04:20,SafaBosS,Cavaleiro,Defense Fragment (A),Sentinel,Secret Laboratory
2026-08-22,22/08 ás 04:06,LiMaO,Pikeman,Defense Fragment (B),Elite Soldier,Secret Laboratory
2026-08-22,22/08 ás 05:04,Psych0,Atalanta,Inferna,Sentinel,Secret Laboratory
2026-08-22,22/08 ás 05:23,Stelar,Arqueira,Eternal Robe,Deranged Technician,Secret Laboratory
2026-08-22,22/08 ás 05:21,Hewitt,Cavaleiro,Bane Hammer,Armed Invader,Secret Laboratory
2026-08-22,22/08 ás 05:17,SafaBosS,Cavaleiro,Immortal Bow,Armed Invader,Secret Laboratory
2026-08-22,22/08 ás 05:16,LiMaO,Pikeman,Inferna,Psycho Slayer,Secret Laboratory
2026-08-22,22/08 ás 05:51,Stelar,Arqueira,Defense Fragment (C),Undead Engineer,Secret Laboratory
2026-08-22,22/08 ás 05:43,Stelar,Arqueira,Immortal Bow,Elite Soldier,Secret Laboratory
2026-08-22,22/08 ás 06:12,Hewitt,Cavaleiro,Weapon Fragment (C),Undead Schemist,Secret Laboratory
2026-08-22,22/08 ás 06:47,Psych0,Atalanta,Phoenix Boots,Sentinel,Secret Laboratory
2026-08-22,22/08 ás 06:44,SafaBosS,Cavaleiro,Defense Fragment (B),Psycho Slayer,Secret Laboratory
2026-08-22,22/08 ás 07:44,LiMaO,Pikeman,Weapon Fragment (C),Elite Soldier,Secret Laboratory
2026-08-22,22/08 ás 07:42,Hewitt,Cavaleiro,Mirage,Deranged Technician,Secret Laboratory
2026-08-22,22/08 ás 07:36,SafaBosS,Cavaleiro,Heretic Javelin,Armed Invader,Secret Laboratory
2026-08-22,22/08 ás 08:28,Hewitt,Cavaleiro,Bellum,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 08:19,Stelar,Arqueira,Drop Gem (Lv.2),Psycho Slayer,Secret Laboratory
2026-08-22,22/08 ás 08:08,Hewitt,Cavaleiro,Bane Hammer,Sentinel,Secret Laboratory
2026-08-22,22/08 ás 08:39,LiMaO,Pikeman,Mirage,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 08:52,SafaBosS,Cavaleiro,Avernus Beads,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 08:52,LiMaO,Pikeman,Avernus Beads,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 09:24,Psych0,Atalanta,Weapon Fragment (B),Sentinel_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 09:23,SafaBosS,Cavaleiro,Weapon Fragment (A),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 09:07,Psych0,Atalanta,Defense Fragment (A),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 09:53,Psych0,Atalanta,Defense Fragment (B),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 10:47,PaoNaSchapa,Shaman,Devilian Dagger,Sentinel_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 11:21,PaoNaSchapa,Shaman,Weapon Fragment (C),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 11:54,LiMaO,Pikeman,Weapon Fragment (A),Armed Invader_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:25,LiMaO,Pikeman,Immortal Bow,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:20,Hewitt,Cavaleiro,Weapon Fragment (A),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:15,PaoNaSchapa,Shaman,Defense Fragment (A),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:14,Psych0,Atalanta,Bane Hammer,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:49,LiMaO,Pikeman,Mirage,Sentinel_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:58,LiMaO,Pikeman,Defense Fragment (A),Elite Soldier_CBA,Battlefield of the Ancients
